TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001424;COX-QUIN 90MG COM.RE X30;322160;206626.75;0;3099.4;209726.15;10;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;20662.675
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000311;CALMADOR 50MG COMPR. X30;2964228;1901195.28;0;28517.93;1929713.21;150;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;12674.6352
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101278;CALMADOR PLUS COM.RE X10;22979.36;14738.49;0;221.08;14959.57;2;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;7369.245
Detalle;FC;A;1114-08132803;;;;;;;;;7791171002018;FINASTERIN 5MG COM.RE X30;1169620.9;750170.74;0;11252.56;761423.3;35;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;21433.44971
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101469;BIFORT-M 50MG COM.MA. X20 FRUTILLA;148082.72;94977.22;0;1424.66;96401.88;4;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;23744.305
Detalle;FC;A;1114-08132803;;;;;;;;;7791171102343;TANSILOPROST DUO CAPSU. X60;220925.54;141697.07;0;2125.46;143822.53;2;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;70848.535
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001950;LISTAFLEX COMPR. X30;58883.37;37766.56;0;566.5;38333.06;3;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;12588.85333
Detalle;FC;A;1114-08132803;;;;;;;;;7791171002353;LIPAREX 20MG COM.RE X30;377445.04;242085.47;0;3631.28;245716.75;8;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;30260.68375
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000199;TANSILOPROST 0.4MG CAPSU. X60;1215717.44;779736.11;0;11696.04;791432.15;16;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;48733.50688
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101513;LISTAFLEX FORTE COMPR. X20;37124.92;23811.16;0;357.17;24168.33;2;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;11905.58
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000335;CALMADOR PLUS COM.RE X30;1158497.6;743036.52;0;11145.55;754182.07;40;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;18575.913
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001011;TANSILOPROST RETARD COM.RE X30;1592952.4;1021686.82;0;15325.3;1037012.12;38;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;26886.49526
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000595;LUDASTERIN 0.5MG COMPR. X30;379026.99;243100.12;0;3646.5;246746.62;9;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;27011.12444
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000595;LUDASTERIN 0.5MG COMPR. X30;2232047.83;1431589.6;0;21473.84;1453063.44;53;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;27011.12453
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001516;PISONO 5MG COM.RE X30;1149395.5;737198.44;0;11057.98;748256.42;25;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;29487.9376
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101773;XINA COMPR. X30;97918.41;62802.84;0;942.04;63744.88;3;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;20934.28
Detalle;FC;A;1114-08132803;;;;;;;;;7791171001141;TADAL 5MG COM.RE X28;306150.36;196358.49;0;2945.38;199303.87;4;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;49089.6225
Detalle;FC;A;1114-08132803;;;;;;;;;7791171100882;BIFORT 50MG COM.RE X20;148759.92;95411.53;0;1431.17;96842.7;4;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;23852.8825
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000298;MESEL COM.RE X1;128656.05;82517.32;0;1237.76;83755.08;5;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;16503.464
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000755;CALMADOR RETARD 100MG COM.RE X10;109435.44;70189.63;0;1052.84;71242.47;8;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;8773.70375
Detalle;FC;A;1114-08132803;;;;;;;;;7791171100929;FOSFOMIK 5MG COMPR. X30;59556.24;38198.14;0;572.97;38771.11;3;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;12732.71333
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101476;REGULANE COMPR. X20;454922;291777.27;0;4376.66;296153.93;50;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;5835.5454
Detalle;FC;A;1114-08132803;;;;;;;;;7791171101193;LIPAREX 40MG COM.RE X30;103805.52;66578.72;0;998.68;67577.4;2;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;33289.36
Detalle;FC;A;1114-08132803;;;;;;;;;7791171100592;PAUSAFREN T COMPR. X40;325860.22;209000.03;0;3135;212135.03;14;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;14928.57357
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000335;CALMADOR PLUS COM.RE X30;173774.64;111455.48;0;1671.83;113127.31;6;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;18575.91333
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000755;CALMADOR RETARD 100MG COM.RE X10;54717.72;35094.81;0;526.42;35621.23;4;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;8773.7025
